╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕m/л╪кл░╧мqк∙╡P,дgжa▓╛┬р┴`н▒┐n(ендшд╜д╪),│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐n(ендшд╜д╪),л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙(д╕),│ц╗∙(д╕/ендшд╜д╪),иожь├■зO,иожь▓╛┬р┴`н▒┐n(ендшд╜д╪),иожь┴`╗∙(д╕),│╞╡∙,╜s╕╣
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,116.21,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050401,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,173.86,4,2,3,ж│,╡L,6620000,38077,,0.0,0,,RPPOMLLKJHNFFCQ68CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,118.29,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050601,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,178.75,5,2,3,ж│,╡L,6650000,37203,,0.0,0,,RPQOMLLKJHNFFCQ78CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°1╛F░ёид1~30╕╣,77.56,жэ,,,1061201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0821216,166.56,4,3,3,ж│,╡L,5600000,33622,,0.0,0,,RPQOMLMKJHNFFCQ88CA
╖s┤ф╢m,дgжa,░ёдl└Yмq░ёдl└Yдpмq331~360жa╕╣,2411.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2500000,1037,,0.0,0,,RPRNMLMKJHNFFCQ88CA
дjкL┬э,дgжa,жNкLмq541~570жa╕╣,45.02,░╙,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,66637,,0.0,0,зtе╝╡n░Oл╪клбC,RPSNMLMKJHNFFCQ98CA
дjкL┬э,дgжa,╖sдjоHм№мq1651~1680жa╕╣,610.23,,пSйw╣A╖~░╧,╣Aкке╬жa,1061201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,856324,1403,,0.0,0,┐╦д═пSоэ├ЎлY╢бдзецйЎбCдзлe╜цдшеN▓M└vкk░|мdл╩дз┤┌╢╡бA▓{╡Lоз╡n░O┴┘╡╣ньй╥ж│┼vдH,RPTNMLMKJHNFFCQ09CA
ем│U┬э,дgжa,иг└sмq331~360жa╕╣,48.28,жэ,,,1061201,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,54746,1134,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPPNMLQLJHNFFBQ09CA
ем│U┬э,дgжa,иг└sмq331~360жa╕╣,57.54,жэ,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,65254,1134,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLQLJHNFFBQ56CA
ем│U┬э,дgжa,└sж┐мq121~150жa╕╣,26382.32,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8432182,320,,0.0,0,д║зt╣D╕Їе╬жa,ж@ж│дH3дH,RPTNMLPJKHNFFBQ66CA
ем│U┬э,дgжa,└sж┐мq121~150жa╕╣,1005.98,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa7л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,321525,320,,0.0,0,д║зt╣D╕Їе╬жa,RPUNMLPJKHNFFBQ76CA
ем│U┬э,дgжa,└sж┐мq181~210жa╕╣,40969.95,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa14л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13094605,320,,0.0,0,д║зt╣D╕Їе╬жa,ж@ж│дH2дH,RPWNMLPJKHNFFBQ96CA
ем│U┬э,дgжa,└sж┐мq211~240жa╕╣,40514.73,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa10л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,12949110,320,,0.0,0,д║зt╣D╕Їе╬жa,RPXNMLPJKHNFFBQ07CA
ем│U┬э,дgжa,└sж┐мq211~240жa╕╣,22747.08,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7270304,320,,0.0,0,д║зt╣D╕Їе╬жa,ж@ж│дH2дH,RPOOMLPJKHNFFBQ88CA
ем│U┬э,дgжa,└sж┐мq91~120жa╕╣,24192.74,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7732359,320,,0.0,0,д║зt╣D╕Їе╬жa,RPQOMLPJKHNFFBQ09CA
ем│U┬э,дgжa,└sж┐мq151~180жa╕╣,858.98,,пSйw▒Mе╬░╧,╛i┤▐е╬жa,1060801,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,274543,320,,0.0,0,д║зt╣D╕Їе╬жa,ж@ж│дH3дH,RPROMLPJKHNFFBQ56CA
д╗╕}╢m,дgжa,д╗┐│мq1231~1260жa╕╣,306.75,,д@пы╣A╖~░╧,╣Aкке╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,200000,652,,0.0,0,,RPVNMLSJJHNFFBQ07CA
╖s┤ф╢m,дgжa,дЇеPмq541~570жa╕╣,146.28,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,332980,2276,,0.0,0,,RPQNMLLKJHNFFCQ78DA
╖s┤ф╢m,дgжa,дЇеPмq541~570жa╕╣,146.28,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,332980,2276,,0.0,0,,RPRNMLLKJHNFFCQ88DA
дjкL┬э,дgжa,кFкLмq481~510жa╕╣,19.23,жэ,,,1061201,дgжa10л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,397250,20658,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPXNMLRKJHNFFCQ47DA
д╗╕}╢m,дgжa,дj╢юоvмq╢юоvдpмq391~420жa╕╣,4926.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6650100,1350,,0.0,0,,RPSNMLTJJHNFFBQ96DA
д╗╕}╢m,дgжa,╖╦сYнэмq241~270жa╕╣,1040.88,,д@пы╣A╖~░╧,╣Aкке╬жa,1061201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,200000,192,,0.0,0,,RPTNMLTJJHNFFBQ07DA
╡f╕Ї╢m,дgжa,д╜е╨мq61~90жa╕╣,1020.0,,┤╦кL░╧,╣Aкке╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,160000,157,,0.0,0,,RPSNMLPKJHNFFEQ86CA
╡f╕Ї╢m,дgжa,д╜е╨мq91~120жa╕╣,1000.0,,┤╦кL░╧,кL╖~е╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,110000,110,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLPKJHNFFEQ96CA
ж╦▒T╢m,дgжa,дн╢бнэмq751~780жa╕╣,114.89,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,517005,4500,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLLKJHNFFEQ09EA
ж╦▒T╢m,дgжa,╖╦д▀мq181~210жa╕╣,3745.35,╣A,,,1061201,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4200000,1121,,0.0,0,,RPRNMLTJJHNFFEQ27EA
ж╦▒T╢m,дgжa,┤_нь▓°мq271~300жa╕╣,1703.12,,дsйYжaлOи|░╧,╣Aкке╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1300000,763,,0.0,0,,RPPNMLMKJHNFFEQ09EA
╖s┤ф╢m,дgжa,еjе┴мq╖sе┴дpмq661~690жa╕╣,5.0,жэ,,,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,132000,26400,,0.0,0,,RPWNMLQKJHNFFCQ37EA
╡f╕Ї╢m,дgжa,д╜е╨мq151~180жa╕╣,2382.5,,┤╦кL░╧,кL╖~е╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,210,,0.0,0,,RPPNMLSKJHNFFEQ86CA
╡f╕Ї╢m,дgжa,╡f╕Їмq511~540жa╕╣,118.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1757000,14890,,0.0,0,зtжaдWе╝лOжs╡n░Oл╪кл,RPQNMLSKJHNFFEQ96CA
▒Ўдs╢m,дgжa,дjпєоHмq571~600жa╕╣,1887.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1300000,689,,0.0,0,,RPPNMLOLJHNFFEQ56CA
▒Ўдs╢m,дgжa,▒Ўлnмq1201~1230жa╕╣,318.0,╣A,,,1061201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2500000,7862,,0.0,0,,RPQNMLMLJHNFFEQ09CA
е┴╢п╢m,дgжa,иqкLмq1741~1770жa╕╣,858.97,,д@пы╣A╖~░╧,╣Aкке╬жa,1061001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,231923,270,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLKKJHNFFCQ98DA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдTм╔оH511~540╕╣,98.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0701030,65.32,3,1,1,ж│,╡L,2360000,36130,,0.0,0,,RPRNMLQKJHNFFDQ86DA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе~кL╡є151~180╕╣,78.93,жэ,,,1061101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0921231,159.48,4,2,3,ж│,╡L,7000000,43893,,0.0,0,,RPRNMLMKJHNFFDQ09DA
д╗╕}╢m,дgжa,─мнэмq631~660жa╕╣,51.4,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1000000,19455,,0.0,0,зtе╝╡n░Oл╪клбC,RPPNMLLKJHNFFBQ48CA
д╗╕}╢m,дgжa,дTйm╝dмq241~270жa╕╣,103.0,,пSйw╣A╖~░╧,дЇзQе╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1014500,9850,,0.0,0,ж│жXи╓и╧е╬е▓нnдзецйЎбC,RPSNMLTKJHNFFBQ96CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдj╢mи╜30╛Fдj?╖}1002л╤211~240╕╣,94.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0710203,98.78,3,1,2,ж│,╡L,1800000,18222,,0.0,0,,RPTNMLRKJHNFFBQ86CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlел╖s┐│╕Ї31~60╕╣,156.0,жэ,,,1061201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0780323,286.92,6,2,3,ж│,╡L,5000000,17426,,0.0,0,,RPPNMLOKJHNFFBQ78CA
╖s┤ф╢m,дgжa,дддuмq1~30жa╕╣,99.0,,дu╖~░╧,дB║╪л╪┐vе╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,853500,8621,,0.0,0,,RPPNMLKKJHNFFCQ48CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдд╝╓з°21╛Fдхд╞╕Ї1~30╕╣,89.0,жэ,,,1061101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0671207,97.7,2,1,1,ж│,╡L,3500000,35824,,0.0,0,,RPVPMLLKJHNFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,121.55,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050501,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,177.33,4,2,3,ж│,╡L,7000000,39474,,0.0,0,,RPROMLLKJHNFFCQ88CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,128.72,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050901,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,186.23,4,2,3,ж│,╡L,7580000,40702,,0.0,0,,RPSOMLLKJHNFFCQ98CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,114.5,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050401,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,170.0,4,2,3,ж│,╡L,6500000,38235,,0.0,0,,RPTOMLLKJHNFFCQ09CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,141.48,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050401,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,173.34,3,2,3,ж│,╡L,6720000,38768,,0.0,0,,RPUOMLLKJHNFFCQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,113.94,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050501,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,184.33,4,3,3,ж│,╡L,6700000,36348,,0.0,0,,RPVOMLLKJHNFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,115.95,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050601,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,168.24,5,2,3,ж│,╡L,6520000,38754,,0.0,0,,RPWOMLLKJHNFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└1~30╕╣,132.9,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051001,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1061116,189.15,5,2,3,ж│,╡L,6950000,36743,,0.0,0,,RPXOMLLKJHNFFCQ86CA
е┴╢п╢m,дgжa,╖s╔▄мq481~510жa╕╣,99.39,╣A,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,124320,1251,,0.0,0,┐╦д═╢б╢R╜цбC,RPSNMLLKJHNFFCQ88CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mе┴╢п╢mе_дцз°е·й·д@╡є391~420╕╣,91.0,жэ,,,1061201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051031,199.4,4,2,3,ж│,╡L,7150000,35858,,0.0,0,,RPTNMLRKJHNFFCQ96CA
е┴╢п╢m,дgжa,жшжwмq421~450жa╕╣,11.81,жэ,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,200000,16935,,0.0,0,,RPSNMLNLJHNFFCQ56CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m╝eдhз°▒Tдl└Y31~60╕╣,97.47,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0701022,102.4,4,2,2,ж│,╡L,3820000,37305,,0.0,0,,RPTOMLTLJHNFFDQ47CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mж^┬kз°15╛Fе_ж^151~180╕╣,61.34,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0700501,104.13,3,2,2,ж│,╡L,2250000,21608,,0.0,0,,RPSNMLNLJHNFFDQ66CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелкF╢╒и╜│╒╖R╕Ї301~330╕╣,108.47,жэ,,,1061201,дgжa8л╪кл3иожь0,д@╝hбAдG╝hбAдT╝hбAе|╝h,е|╝h,й▒н▒(й▒╛Q),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0950216,202.82,5,1,6,ж│,ж│,8060000,39740,,0.0,0,,RPQNMLLKJHNFFDQ78CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mйM┐│з°36╛Fдд╡╪╕Ї209л╤31~60╕╣,71.6,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0710506,98.85,5,1,2,ж│,╡L,1260000,12747,,0.0,0,,RPWNMLRKJHNFFDQ37CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜│╗┤фдlсY31~60╕╣,7.73,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa2л╪кл1иожь0,е|╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,22.21,0,0,0,╡L,╡L,350000,15759,,0.0,0,,RPRNMLLKJHNFFDQ88CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜│╗┤фдlсY31~60╕╣,7.73,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa2л╪кл1иожь0,дн╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,22.21,0,0,0,╡L,╡L,450000,20261,,0.0,0,,RPUNMLLKJHNFFDQ56CA
ддоH╢m,дgжa,е█ОЎмq181~210жa╕╣,4986.75,,дsйYжaлOи|░╧,╣Aкке╬жa,1061201,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,880000,176,,0.0,0,,RPPNMLMKJHNFFDQ78CA
ддоH╢m,дgжa,╞W╝цдlмq31~60жa╕╣,2294.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,290000,126,,0.0,0,,RPQNMLMKJHNFFDQ88CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mй╛йMз°┬b╖}╛Ёид31~60╕╣,125.59,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,0640101,52.68,2,1,1,ж│,╡L,3250000,61693,,0.0,0,,RPRNMLNKJHNFFDQ09CA
ддоH╢m,дgжa,йMм№мq1141~1170жa╕╣,55.55,жэ,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1561628,28112,,0.0,0,,RPSNMLNKJHNFFDQ56CA
ддоH╢m,дgжa,йMм№мq1141~1170жa╕╣,4.76,жэ,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,133813,28112,,0.0,0,,RPTNMLNKJHNFFDQ66CA
ддоH╢m,дgжa,йMм№мq1441~1470жa╕╣,2.44,жэ,,,1061201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,68593,28112,,0.0,0,,RPUNMLNKJHNFFDQ76CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mлnйMз°лn╣t91~120╕╣,906.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061101,дgжa3л╪кл2иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0771216,710.74,7,4,8,ж│,╡L,23000000,32361,,0.0,0,,RPPOMLTLJHNFFDQ07CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢m┐│д╞?ов╡дзв░╕?╕╣,658.25,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0941027,313.22,7,1,4,ж│,╡L,11500000,36715,,0.0,0,,RPTNMLKMJHNFFDQ56CA
╡f╕Ї╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╡f╕Ї╢mж┐жшз°ен?1~30╕╣,5.33,жэ,,,1061201,дgжa2л╪кл1иожь0,дQ╝h,дQдK╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0820401,46.31999999999999,0,0,0,╡L,ж│,950000,20509,,0.0,0,,RPPNMLPKJHNFFEQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°14╛Fл╪░ъ╕ЇдTмq260л╤1~30╕╣,84.88,░╙,,,1061101,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0850909,229.11,7,2,4,ж│,╡L,6500000,28371,,0.0,0,2╝╙╢зеxе~▒└бB1╝╙д╬2╝╙л╬лс╝Wл╪,RPROMLTKJHNFFCQ07CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эдTйMи╜дд┐│╕ЇдGмq571~600╕╣,87.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0660301,104.64,2,2,1,ж│,╡L,2500000,23891,,0.0,0,,RPPNMLMKJHNFFCQ68CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓┼vз°11╛F║╓┼v╕Ї1~30╕╣,63.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0700120,108.23,3,2,2,ж│,╡L,2100000,19403,,0.0,0,,RPWPMLLKJHNFFCQ86CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°л╪░ъ╕ЇдTмq124л╤2з╦1~30╕╣,59.58,░╙,,,1061201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0661230,91.2,3,2,2,ж│,╡L,4460000,48904,,0.0,0,,RPXPMLLKJHNFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдj▒Tз°15╛FдQе|е╥91~120╕╣,107.62,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0700423,112.5,2,1,1,ж│,╡L,3600000,32000,,0.0,0,,RPUPMLLKJHNFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓┐│з°╖s┐│1~30╕╣,101.57,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061201,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060829,171.7,4,3,3,ж│,╡L,6180000,35993,,0.0,0,,RPWNMLMKJHNFFCQ76CA
